45.523120,-73.585560
45.523363,-73.585027
45.523197,-73.584558
45.523119,-73.584330
45.523072,-73.584229
45.523056,-73.584192
45.522917,-73.583830
45.523372,-73.583421
45.523414,-73.583386
45.523617,-73.583217
45.523881,-73.582985
45.523974,-73.582902
45.524044,-73.582840
45.524313,-73.582599
45.524482,-73.582447
45.524531,-73.582404
45.524572,-73.582368
45.524984,-73.582009
45.525252,-73.581773
45.525562,-73.581502
45.525736,-73.581346
45.525978,-73.581122
45.526454,-73.580674
45.527023,-73.580135
45.527362,-73.579815
45.528007,-73.579208
45.528740,-73.578526
45.529291,-73.578015
45.529807,-73.577526
45.530270,-73.577077
45.530856,-73.576522
45.531516,-73.575901
45.532176,-73.575275
45.532921,-73.574571
45.533595,-73.573930
45.534073,-73.573489
45.534554,-73.573019
45.535168,-73.572447
45.536034,-73.571625
45.536333,-73.571337
45.536494,-73.571181
45.536911,-73.570791
45.536990,-73.570714
45.537498,-73.570225
45.538064,-73.569677
45.538556,-73.569196
45.539040,-73.568752
45.539386,-73.568481
45.538598,-73.565837
45.539346,-73.562430
45.539040,-73.561601
45.539545,-73.561400
45.539103,-73.559696
45.539686,-73.559374
