code,name,latitude,longitude
7030,de Bordeaux / Marie-Anne,45.53340913,-73.57065707
6141,de Bordeaux / Rachel,45.53227,-73.56828
6223,du Mont-Royal / du Parc,45.517,-73.589
6233,Bernard / Jeanne-Mance,45.52428648,-73.60497326
6007,de l'Hôtel-de-Ville / Ste-Catherine,45.51167258,-73.56204182
6073,de Maisonneuve / Aylmer,45.50501,-73.57069
6137,Gauthier / Papineau,45.5296926,-73.56740087
6138,Gauthier / de Lorimier,45.53167355,-73.56541336
6012,Métro St-Laurent (de Maisonneuve / St-Laurent),45.51066,-73.56497
6262,de la Roche /  de Bellechasse,45.53715923,-73.59747648
7083,Parc de Bullion (de Bullion / Prince-Arthur),45.51560426,-73.57213497
6248,St-Dominique / Rachel,45.518593,-73.581566
6184,Métro Mont-Royal (Rivard / du Mont-Royal),45.524673,-73.58255
7019,Casgrain / St-Viateur,45.52751293,-73.59879076
7026,Maguire / Henri-Julien,45.5270411,-73.59347057
6218,Prince-Arthur / St-Urbain,45.5125874,-73.57373893
6015,BAnQ (Berri / de Maisonneuve),45.515299,-73.561273
6152,Chabot / du Mont-Royal,45.53418509,-73.57358873
6197,de Bordeaux / Masson,45.5389844,-73.58244538
6254,Boyer / Bélanger,45.54006,-73.60897
6280,Fairmount / St-Dominique,45.52450499,-73.5941425
6227,de l'Esplanade / Laurier,45.52111622,-73.59478354
6129,de Bordeaux / Sherbrooke,45.52997069,-73.56305301
6147,Calixa-Lavallée / Sherbrooke,45.52479,-73.56545
6154,Marquette / du Mont-Royal,45.53229,-73.57544
6163,Marquette / Laurier,45.53543,-73.5822
6411,Clark / Prince-Arthur,45.51330257,-73.57296109
6153,Cartier / Marie-Anne,45.532674,-73.571776
6089,Henri-Julien / du Carmel,45.52783941,-73.5948211
6209,Milton / Clark,45.51254135,-73.57067719
6070,Milton / University,45.5064484,-73.57634872
6200,Maguire / St-Laurent,45.52462849,-73.59581083
6750,Frontenac / du Mont-Royal,45.53927089,-73.56837183
7029,Cartier / Masson,45.53802074,-73.58352363
6237,Gilford / de Lanaudière,45.532008,-73.58044446
6155,Garnier / du Mont-Royal,45.53092,-73.57674
6247,St-Dominique / St-Zotique,45.53228146,-73.61099146
6908,de Bellechasse / de St-Vallier,45.53334868,-73.60113569
6196,Villeneuve / St-Laurent,45.52134173,-73.58941913
6241,Hutchison / Fairmount,45.51951505,-73.59851718
6157,de la Roche / du Mont-Royal,45.52875779,-73.57867956
6232,Hutchison / Van Horne,45.52502123,-73.61073732
7028,de Gaspé / St-Viateur,45.52774828,-73.59743893
6230,Waverly / St-Viateur,45.52385614,-73.6001265
7078,Hochelaga / Chapleau,45.53445295,-73.55965197
6268,Chambord / Beaubien,45.53993218,-73.5993433
6177,St-Hubert / Duluth,45.52255761,-73.57440948
6176,de Mentana / Rachel,45.52496324,-73.57555881
6259,Dandurand / de Lorimier,45.540881,-73.584157
6174,Roy / St-Denis,45.51908,-73.5727
6202,Ste-Famille / Sherbrooke,45.51007155,-73.57075229
6217,Vallières / St-Laurent,45.51896722,-73.58361617
6131,Fullum / Sherbrooke ,45.533924,-73.562425
6216,Parc Jeanne Mance (monument à sir George-Étienne Cartier),45.51496,-73.58503
6047,University / Prince-Arthur,45.50740168,-73.57844353
6156,Marie-Anne / de la Roche,45.52775814,-73.57618511
7033,Aylmer / Prince-Arthur,45.50856687,-73.57769787
6193,de l'Esplanade / Fairmount,45.521495,-73.596758
6211,Roy / St-Laurent,45.51561624,-73.57580826
6160,Garnier / St-Joseph,45.53297746,-73.5812223
6190,Pontiac / Gilford,45.52700933,-73.58576596
6188,de Mentana / Marie-Anne,45.52602657,-73.57785881
6926,Marie-Anne / St-Hubert,45.52468298,-73.57889682
6221,du Mont-Royal / Clark,45.51941,-73.58685
6143,Rachel / de Brébeuf,45.52689,-73.57264
6231,Jeanne-Mance / St-Viateur,45.52289368,-73.6018163
6220,Laval / Duluth,45.51921624,-73.57718021
6213,Duluth / St-Laurent,45.51687641,-73.57946008
6307,Laval / Rachel,45.52017845,-73.57942387
7027,Terrasse Guindon / Fullum,45.53711414,-73.56913894
6032,Métro Place-d'Armes (Viger / St-Urbain),45.50623,-73.55976
6274,de la Roche / St-Joseph,45.531164,-73.583695
6195,de Bullion / St-Joseph,45.52403655,-73.59014332
6182,de Bullion / du Mont-Royal,45.52148456,-73.58498007
